[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
00e68c3d4611   spark-worker-6   100.48%   299.5MiB / 1GiB     29.25%    174MB / 197MB     286MB / 592MB     64
73bf2fc7d910   spark-worker-4   101.41%   396.9MiB / 1GiB     38.76%    160MB / 177MB     13.9MB / 25.1MB   64
f841a1fea1b2   spark-worker-2   0.13%     346.8MiB / 1GiB     33.87%    153MB / 168MB     10.6MB / 12.8MB   60
4e5b5483ed2f   spark-worker-3   0.12%     393.7MiB / 1GiB     38.45%    170MB / 153MB     56.7MB / 27.6MB   61
4896f71aef73   spark-worker-5   99.61%    414.9MiB / 1GiB     40.52%    200MB / 171MB     19.3MB / 14.4MB   65
f34e9addb485   spark-worker-1   100.48%   303.6MiB / 1GiB     29.65%    198MB / 187MB     124MB / 289MB     64
a5264a101823   spark-master     0.04%     173.1MiB / 1GiB     16.91%    476kB / 119kB     1.76MB / 664kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
1ceec149a78c   spark-driver     2.77%     493.1MiB / 1GiB     48.16%    1.73MB / 4.45MB   85.3MB / 1.69MB   67
00e68c3d4611   spark-worker-6   100.48%   299.5MiB / 1GiB     29.25%    174MB / 197MB     286MB / 592MB     64
73bf2fc7d910   spark-worker-4   101.41%   396.9MiB / 1GiB     38.76%    160MB / 177MB     13.9MB / 25.1MB   64
f841a1fea1b2   spark-worker-2   0.13%     346.8MiB / 1GiB     33.87%    153MB / 168MB     10.6MB / 12.8MB   60
4e5b5483ed2f   spark-worker-3   0.12%     393.7MiB / 1GiB     38.45%    170MB / 153MB     56.7MB / 27.6MB   61
4896f71aef73   spark-worker-5   99.61%    414.9MiB / 1GiB     40.52%    200MB / 171MB     19.3MB / 14.4MB   65
f34e9addb485   spark-worker-1   100.48%   303.6MiB / 1GiB     29.65%    198MB / 187MB     124MB / 289MB     64
a5264a101823   spark-master     0.04%     173.1MiB / 1GiB     16.91%    476kB / 119kB     1.76MB / 664kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
1ceec149a78c   spark-driver     0.56%     494.3MiB / 1GiB     48.27%    1.73MB / 4.45MB   85.3MB / 1.69MB   67
00e68c3d4611   spark-worker-6   100.61%   324.7MiB / 1GiB     31.71%    174MB / 197MB     286MB / 592MB     64
